Attendance,Internal_Marks,Assignment_Completion,Study_Hours,Previous_CGPA,Backlogs,Participation,Result_Risk
69.1,52.0,52.5,1.9,8.3,1,Medium,Medium
83.9,60.6,96.1,2.03,7.95,1,Medium,Low
100.0,67.4,75.2,3.05,8.33,1,Low,Low
96.1,52.0,83.7,3.47,6.67,1,Medium,Low
98.8,72.7,81.0,3.36,6.9,0,Low,Low
95.2,72.9,63.0,3.41,9.25,1,Medium,Low
50.8,26.4,66.1,2.79,7.61,0,Low,Medium
72.0,48.8,38.7,3.27,7.31,0,Medium,Medium
68.5,31.3,58.5,5.08,8.2,4,Low,High
93.7,36.2,65.0,6.48,5.96,3,High,Medium
100.0,57.1,46.4,4.89,6.84,3,Medium,Medium
65.0,51.5,71.5,2.89,7.53,1,High,Low
75.6,80.1,95.0,3.8,6.93,1,Low,Low
83.4,90.7,59.7,4.65,8.81,1,Medium,Low
67.7,61.4,50.3,4.72,7.53,0,High,Low
65.6,50.4,52.5,5.04,8.06,0,Medium,Low
64.8,51.2,73.3,5.07,6.01,2,Medium,Medium
